name,station_name_combined,station_number,district,religion,gender,to_register,from_register,room,station_name,maps,coordinates
ناخبو الطائفة سني من سجل ١٠٩٦ إلى سجل ١٢٢٣,"ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري غرفة رقم
 ١١",11,الباشورة,سني,ذكر,1223,1096,"غرفة رقم
 ١١",ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري,https://maps.app.goo.gl/wP1a7FHyLGTU864x9,"33.88663009030828, 35.50703878467553"
ناخبو الطائفة سني من سجل ١٢٢٤ إلى سجل ١٣٨٠,"ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري غرفة رقم
 ١٢",12,الباشورة,سني,ذكر,1380,1224,"غرفة رقم
 ١٢",ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري,https://maps.app.goo.gl/wP1a7FHyLGTU864x9,"33.88663009030828, 35.50703878467553"
ناخبو الطائفة سني من سجل ١٣٨١ إلى سجل ١٥٩٨,"ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري غرفة رقم
 ١٣",13,الباشورة,سني,ذكر,1598,1381,"غرفة رقم
 ١٣",ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري,https://maps.app.goo.gl/wP1a7FHyLGTU864x9,"33.88663009030828, 35.50703878467553"
ناخبو الطائفة سني من سجل ١٥٩٩ إلى سجل ١٧٩٢,"ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري غرفة رقم
 ١٤",14,الباشورة,سني,ذكر,1792,1599,"غرفة رقم
 ١٤",ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري,https://maps.app.goo.gl/wP1a7FHyLGTU864x9,"33.88663009030828, 35.50703878467553"
ناخبو الطائفة سني من سجل ١٧٩٧ إلى سجل ٢٠٥٩,"ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري غرفة رقم
 ١٥",15,الباشورة,سني,ذكر,2059,1797,"غرفة رقم
 ١٥",ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري,https://maps.app.goo.gl/wP1a7FHyLGTU864x9,"33.88663009030828, 35.50703878467553"
ناخبو الطائفة سني من سجل ٢٠٦٠ إلى سجل ٢٣٦٩,"ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري غرفة رقم
 ١٦",16,الباشورة,سني,ذكر,2369,2060,"غرفة رقم
 ١٦",ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري,https://maps.app.goo.gl/wP1a7FHyLGTU864x9,"33.88663009030828, 35.50703878467553"
ناخبات الطائفة سني من سجل ٤٧٤٥ إلى سجل ٤٨٧٠,"ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب
 البلدي) غرفة رقم ٩",236,المزرعة,سني,أنثى,4870,4745,غرفة رقم ٩,ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب البلدي),https://maps.app.goo.gl/peM1A8cds1S5FNhM6,"33.87206624612084, 35.49990524227244"
ناخبات الطائفة سني من سجل ٤٨٧١ إلى سجل ٥٠٢٦,"ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب
 البلدي) غرفة رقم ١٠",237,المزرعة,سني,أنثى,5026,4871,غرفة رقم ١٠,ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب البلدي),https://maps.app.goo.gl/peM1A8cds1S5FNhM6,"33.87206624612084, 35.49990524227244"
ناخبات الطائفة سني من سجل ٥٠٢٨ إلى سجل ٥٣٥٥,"ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب
 البلدي) غرفة رقم ١",238,المزرعة,سني,أنثى,5355,5028,غرفة رقم ١,ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب البلدي),https://maps.app.goo.gl/peM1A8cds1S5FNhM6,"33.87206624612084, 35.49990524227244"
ناخبات الطائفة سني من سجل ٥٣٥٦ إلى سجل ٥٦٣٧,"ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب
 البلدي) غرفة رقم ٢",239,المزرعة,سني,أنثى,5637,5356,غرفة رقم ٢,ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب البلدي),https://maps.app.goo.gl/peM1A8cds1S5FNhM6,"33.87206624612084, 35.49990524227244"
ناخبات الطائفة سني من سجل ٥٦٣٩ إلى سجل ٥٩١٣,"ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب
 البلدي) غرفة رقم ٣",240,المزرعة,سني,أنثى,5913,5639,غرفة رقم ٣,ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب البلدي),https://maps.app.goo.gl/peM1A8cds1S5FNhM6,"33.87206624612084, 35.49990524227244"
ناخبات الطائفة سني من سجل ٥٩١٤ إلى سجل ٦٢٣٣,"ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب
 البلدي) غرفة رقم ٤",241,المزرعة,سني,أنثى,6233,5914,غرفة رقم ٤,ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب البلدي),https://maps.app.goo.gl/peM1A8cds1S5FNhM6,"33.87206624612084, 35.49990524227244"
ناخبات الطائفة سني من سجل ٦٢٣٤ إلى سجل ٦٥٦٩,"ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب
 البلدي) غرفة رقم ٥",242,المزرعة,سني,أنثى,6569,6234,غرفة رقم ٥,ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب البلدي),https://maps.app.goo.gl/peM1A8cds1S5FNhM6,"33.87206624612084, 35.49990524227244"
ناخبات الطائفة سني من سجل ٦٥٧٠ إلى سجل ٦٩٢١,"ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب
 البلدي) غرفة رقم ٦",243,المزرعة,سني,أنثى,6921,6570,غرفة رقم ٦,ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب البلدي),https://maps.app.goo.gl/peM1A8cds1S5FNhM6,"33.87206624612084, 35.49990524227244"
ناخبات الطائفة سني من سجل ٦٩٢٢ إلى سجل ٧٢٩٠,"ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب
 البلدي) غرفة رقم ٧",244,المزرعة,سني,أنثى,7290,6922,غرفة رقم ٧,ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب البلدي),https://maps.app.goo.gl/peM1A8cds1S5FNhM6,"33.87206624612084, 35.49990524227244"
ناخبات الطائفة سني من سجل ٧٢٩١ إلى سجل ٧٧٥٨,"ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب
 البلدي) غرفة رقم ٨",245,المزرعة,سني,أنثى,7758,7291,غرفة رقم ٨,ابتدائيه عمر بن الخطاب شارع الطريق الجديدة (الملعب البلدي),https://maps.app.goo.gl/peM1A8cds1S5FNhM6,"33.87206624612084, 35.49990524227244"
ناخبو الطائفة روم ارثوذكس من سجل ٤ إلى سجل ١٦١,"الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب
 غرفة رقم ١٨",246,المزرعة,روم ارثوذكس,ذكر,161,4,غرفة رقم ١٨,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة روم ارثوذكس من سجل ١٦٢ إلى سجل ٣٥٢,"الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب
 غرفة رقم ١٩",247,المزرعة,روم ارثوذكس,ذكر,352,162,غرفة رقم ١٩,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة روم ارثوذكس من سجل ٣٥٣ إلى سجل ٦٨٠,"الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب
 غرفة رقم ١",248,المزرعة,روم ارثوذكس,ذكر,680,353,غرفة رقم ١,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة ااسرائيلي من سجل ١ إلى سجل ٣,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ٢,249,المزرعة,اسرائيلي,أنثى,3,1,غرفة رقم ٢,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة ااسرائيلي من سجل ١ إلى سجل ٧,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ٢,249,المزرعة,اسرائيلي,ذكر,7,1,غرفة رقم ٢,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة انجيلي من سجل ٣ إلى سجل ٢٤,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ٢,249,المزرعة,انجيلي,ذكر,24,3,غرفة رقم ٢,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة روم ارثوذكس من سجل ٦٨١ إلى سجل ٨٠٠,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ٢,249,المزرعة,روم ارثوذكس,ذكر,800,681,غرفة رقم ٢,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة روم كاثوليك من سجل ٢ إلى سجل ١٦٧,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ٢,249,المزرعة,روم كاثوليك,ذكر,167,2,غرفة رقم ٢,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة روم ارثوذكس من سجل ٤ إلى سجل ١٦٢,"الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب
 غرفة رقم ٣",250,المزرعة,روم ارثوذكس,أنثى,162,4,غرفة رقم ٣,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة روم ارثوذكس من سجل ١٦٤ إلى سجل ٣٤١,"الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب
 غرفة رقم ٤",251,المزرعة,روم ارثوذكس,أنثى,341,164,غرفة رقم ٤,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة روم ارثوذكس من سجل ٣٤٢ إلى سجل ٦٧٠,"الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب
 غرفة رقم ٥",252,المزرعة,روم ارثوذكس,أنثى,670,342,غرفة رقم ٥,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة انجيلي من سجل ٣ إلى سجل ٢٤,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ٦,253,المزرعة,انجيلي,أنثى,24,3,غرفة رقم ٦,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة روم ارثوذكس من سجل ٦٧١ إلى سجل ٨٠١,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ٦,253,المزرعة,روم ارثوذكس,أنثى,801,671,غرفة رقم ٦,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة روم كاثوليك من سجل ٤ إلى سجل ١٦٧,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ٦,253,المزرعة,روم كاثوليك,أنثى,167,4,غرفة رقم ٦,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة شيعي من سجل ٢ إلى سجل ٧٩,"الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب
 غرفة رقم ٧",254,المزرعة,شيعي,ذكر,79,2,غرفة رقم ٧,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة شيعي من سجل ٨٥ إلى سجل ٢٣٤,"الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب
 غرفة رقم ٨",255,المزرعة,شيعي,ذكر,234,85,غرفة رقم ٨,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة شيعي من سجل ٢٣٥ إلى سجل ٣٨٤,"الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب
 غرفة رقم ٩",256,المزرعة,شيعي,ذكر,384,235,غرفة رقم ٩,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة درزي من سجل ١ إلى سجل ٦٧,"الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب
 غرفة رقم ١٠",257,المزرعة,درزي,ذكر,67,1,غرفة رقم ١٠,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة شيعي من سجل ٣٨٦ إلى سجل ٦٠٦,"الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب
 غرفة رقم ١٠",257,المزرعة,شيعي,ذكر,606,386,غرفة رقم ١٠,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة شيعي من سجل ٢ إلى سجل ٨٩,"الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب
 غرفة رقم ١١",258,المزرعة,شيعي,أنثى,89,2,غرفة رقم ١١,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة شيعي من سجل ١٠٠ إلى سجل ٢٣٠,"الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب
 غرفة رقم ١٢",259,المزرعة,شيعي,أنثى,230,100,غرفة رقم ١٢,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة شيعي من سجل ٢٣١ إلى سجل ٣٦٦,"الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب
 غرفة رقم ١٣",260,المزرعة,شيعي,أنثى,366,231,غرفة رقم ١٣,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة درزي من سجل ١ إلى سجل ٧٥,"الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب
 غرفة رقم ١٤",261,المزرعة,درزي,أنثى,75,1,غرفة رقم ١٤,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة شيعي من سجل ٣٦٧ إلى سجل ٦٠٥,"الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب
 غرفة رقم ١٤",261,المزرعة,شيعي,أنثى,605,367,غرفة رقم ١٤,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة سريان ارثوذكس من سجل ١ إلى سجل ٣٥,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ١٥,262,المزرعة,سريان ارثوذكس,ذكر,35,1,غرفة رقم ١٥,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة سريان كاثوليك من سجل ٢ إلى سجل ٣٩,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ١٥,262,المزرعة,سريان كاثوليك,ذكر,39,2,غرفة رقم ١٥,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة ماروني من سجل ١٠ إلى سجل ٢٦٠,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ١٥,262,المزرعة,ماروني,ذكر,260,10,غرفة رقم ١٥,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة سريان ارثوذكس من سجل ١ إلى سجل ٣٦,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ١٦,263,المزرعة,سريان ارثوذكس,أنثى,36,1,غرفة رقم ١٦,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة سريان كاثوليك من سجل ٢ إلى سجل ٤٠,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ١٦,263,المزرعة,سريان كاثوليك,أنثى,40,2,غرفة رقم ١٦,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة ماروني من سجل ٦ إلى سجل ٢٦٢,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ١٦,263,المزرعة,ماروني,أنثى,262,6,غرفة رقم ١٦,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة ارمن ارثوذكس من سجل ٣ إلى سجل ٥٤,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ١٧,264,المزرعة,ارمن ارثوذكس,أنثى,54,3,غرفة رقم ١٧,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة ارمن كاثوليك من سجل ١ إلى سجل ٣٥,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ١٧,264,المزرعة,ارمن كاثوليك,أنثى,35,1,غرفة رقم ١٧,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة تين من سجل ١ إلى سجل ٣٩,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ١٧,264,المزرعة,لاتين,أنثى,39,1,غرفة رقم ١٧,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة علوي من سجل ١ إلى سجل ٢,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ١٧,264,المزرعة,علوي,أنثى,2,1,غرفة رقم ١٧,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة كلدان كاثوليك من سجل ٢ إلى سجل ٥,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ١٧,264,المزرعة,كلدان كاثوليك,أنثى,5,2,غرفة رقم ١٧,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة ارمن ارثوذكس من سجل ١ إلى سجل ٥٤,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ١٧,264,المزرعة,ارمن ارثوذكس,ذكر,54,1,غرفة رقم ١٧,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة ارمن كاثوليك من سجل ١ إلى سجل ٣٥,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ١٧,264,المزرعة,ارمن كاثوليك,ذكر,35,1,غرفة رقم ١٧,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة تين من سجل ١ إلى سجل ٤٠,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ١٧,264,المزرعة,لاتين,ذكر,40,1,غرفة رقم ١٧,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة علوي من سجل ١ إلى سجل ١,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ١٧,264,المزرعة,علوي,ذكر,1,1,غرفة رقم ١٧,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبو الطائفة كلدان كاثوليك من سجل ٢ إلى سجل ٥,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب غرفة رقم ١٧,264,المزرعة,كلدان كاثوليك,ذكر,5,2,غرفة رقم ١٧,الثانوية العاملية المبنى الجنوبي  –  شارع عمر بن الخطاب,https://maps.app.goo.gl/4J7ZgdJa8pzowgtA8,"33.88327700340277, 35.50569936357905"
ناخبات الطائفة ااسرائيلي من سجل ١ إلى سجل ٩١٣,المدرسة الارمنية الانجيلية العالية  شارع المكسيك غرفة رقم ١,568,ميناء الحصن,اسرائيلي,أنثى,913,1,غرفة رقم ١,المدرسة الارمنية الانجيلية العالية  شارع المكسيك,https://maps.app.goo.gl/WCEdZ1VcTgUrNdQd9,"33.89635655736634, 35.49269722734879"
